2022-03-28 22:53:18 [background-preinit] INFO  o.h.v.i.u.Version                                  - HV000001: Hibernate Validator 6.2.0.Final 
2022-03-28 22:53:18 [restartedMain] INFO  c.v.advancedJavaFinalKimThanhApplication           - Starting advancedJavaFinalKimThanhApplication using Java 17.0.1 on Tan-Phong.local with PID 52882 (/Users/apple/Downloads/Thanh_advancedJava/target/classes started by apple in /Users/apple/Downloads/Thanh_advancedJava) 
2022-03-28 22:53:18 [restartedMain] INFO  c.v.advancedJavaFinalKimThanhApplication           - No active profile set, falling back to default profiles: default 
2022-03-28 22:53:18 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable 
2022-03-28 22:53:18 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor    - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG' 
2022-03-28 22:53:19 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2022-03-28 22:53:19 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate          - Finished Spring Data repository scanning in 62 ms. Found 2 JPA repository interfaces. 
2022-03-28 22:53:20 [restartedMain] INFO  o.s.b.w.e.t.TomcatWebServer                        - Tomcat initialized with port(s): 8081 (http) 
2022-03-28 22:53:20 [restartedMain] INFO  o.a.c.h.Http11NioProtocol                          - Initializing ProtocolHandler ["http-nio-8081"] 
2022-03-28 22:53:20 [restartedMain] INFO  o.a.c.c.StandardService                            - Starting service [Tomcat] 
2022-03-28 22:53:20 [restartedMain] INFO  o.a.c.c.StandardEngine                             - Starting Servlet engine: [Apache Tomcat/9.0.55] 
2022-03-28 22:53:20 [restartedMain] INFO  o.a.c.c.C.[.[.[/]                                  - Initializing Spring embedded WebApplicationContext 
2022-03-28 22:53:20 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext     - Root WebApplicationContext: initialization completed in 1906 ms 
2022-03-28 22:53:20 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Starting... 
2022-03-28 22:53:23 [restartedMain] INFO  c.z.h.HikariDataSource                             - HikariPool-1 - Start completed. 
2022-03-28 22:53:23 [restartedMain] INFO  o.h.j.i.u.LogHelper                                - HHH000204: Processing PersistenceUnitInfo [name: default] 
2022-03-28 22:53:23 [restartedMain] INFO  o.h.Version                                        - HHH000412: Hibernate ORM core version 5.6.1.Final 
2022-03-28 22:53:23 [restartedMain] INFO  o.h.a.c.Version                                    - HCANN000001: Hibernate Commons Annotations {5.1.2.Final} 
2022-03-28 22:53:23 [restartedMain] INFO  o.h.d.Dialect                                      - HHH000400: Using dialect: org.hibernate.dialect.MySQL55Dialect 
2022-03-28 22:53:24 [restartedMain] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator                 - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform] 
2022-03-28 22:53:24 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean     - Initialized JPA EntityManagerFactory for persistence unit 'default' 
